"index","id","case number","date","block","iucr","primary type","description","location description","arrest","domestic","beat","district","ward","community area","fbi code","latitude","longitude","reference_date"
"142114","9699752","HX349629","07/18/2014 01:00:00 AM","001XX N CICERO AVE","0460","BATTERY","SIMPLE","STREET","false","false","1532","15","28.0","25.0","08B","41.882539916","-87.745354609","2014-07-18"
"142158","9699859","HX349786","07/18/2014 12:00:00 AM","048XX S CALUMET AVE","0820","THEFT","$500 AND UNDER","STREET","false","false","224","2","3.0","38.0","06","41.806916008","-87.618091605","2014-07-18"
"142180","9699860","HX349775","07/18/2014 07:00:00 AM","024XX S SAWYER AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1024","10","22.0","30.0","14","41.84742937","-87.706342408","2014-07-18"
"142234","9699649","HX349569","07/18/2014 12:01:00 AM","007XX N LARAMIE AVE","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","SIDEWALK","true","false","1531","15","28.0","25.0","18","41.893917238","-87.755563741","2014-07-18"
"142239","9699656","HX349571","07/18/2014 12:13:00 AM","050XX W AUGUSTA BLVD","2027","NARCOTICS","POSS: CRACK","SIDEWALK","true","false","1531","15","37.0","25.0","18","41.898629212","-87.751238366","2014-07-18"
"142261","9699687","HX349602","07/18/2014 12:01:00 AM","033XX W VAN BUREN ST","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","STREET","true","false","1134","11","28.0","27.0","18","41.875460052","-87.710026741","2014-07-18"
"142262","9699688","HX349599","07/18/2014 12:37:00 AM","111XX S DR MARTIN LUTHER KING JR DR","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false","531","5","9.0","49.0","14","41.691872614","-87.61334823","2014-07-18"
"142264","9699692","HX349618","07/18/2014 12:01:00 AM","060XX S ALBANY AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","RESIDENCE","false","true","823","8","16.0","66.0","26","41.783696241","-87.700833185","2014-07-18"
"142267","9699696","HX349598","07/18/2014 12:35:00 AM","054XX W JACKSON BLVD","0460","BATTERY","SIMPLE","RESIDENCE PORCH/HALLWAY","false","false","1522","15","29.0","25.0","08B","41.876584106","-87.760401555","2014-07-18"
"142268","9699697","HX349604","07/18/2014 12:18:00 AM","019XX N MILWAUKEE AVE","0460","BATTERY","SIMPLE","SIDEWALK","false","false","1434","14","1.0","22.0","08B","41.917107701","-87.687866617","2014-07-18"
